QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L15_N5000_x100
x[42] = -0.4760  job_id = d9d9ddce-0327-49fc-a602-b5df91457b6c
x[43] = -0.4125  job_id = 75df8a1d-ac48-4b12-a677-3cd8bfa91354
x[44] = -0.3491  job_id = 5503fca4-cbbb-4e4e-a550-39c5fcfcfee0
x[45] = -0.2856  job_id = 30e4e8ff-a21b-4b74-8cf0-bcdf39323a94
x[46] = -0.2221  job_id = 71f1dd82-082a-428c-b305-8f95ed53f96c
x[47] = -0.1587  job_id = 50242013-42c8-4aec-a9c3-29b871c4cace
x[48] = -0.0952  job_id = cd3a3c06-3eb2-4b33-87e5-f1ab5e635eb3
x[49] = -0.0317  job_id = a7ccbdf1-e8b3-4fe7-a759-328c33cb65c6
x[50] = +0.0317  job_id = e0f5d9e3-a4c5-4cfa-8fee-572051eb0014
x[51] = +0.0952  job_id = c08a7b79-180f-4070-94b8-ee658decbd78
x[52] = +0.1587  job_id = 36047c15-ec49-4fe7-bb5d-5d93899e959d
x[53] = +0.2221  job_id = d2b87e8b-2ea8-4657-b239-24c6e58155fb
x[54] = +0.2856  job_id = 53b3031f-9eae-4cde-8a07-fcd1c1b69aad
x[55] = +0.3491  job_id = c65eadb2-f42c-4376-b836-b670f25f50e3
x[56] = +0.4125  job_id = a3521da9-66a4-4fe0-b496-9932c332f24a
x[57] = +0.4760  job_id = dad902e1-aecc-4d71-93df-183df5d7a6f6
x[58] = +0.5395  job_id = 705abd3e-f84c-4dfb-b885-bbff9398b5f4
x[59] = +0.6029  job_id = 757acaf7-7d2c-4b51-9d16-52b3439b6dda
x[60] = +0.6664  job_id = d16115b6-ca89-4d30-bef5-68fc61c394e2
x[61] = +0.7299  job_id = b9126089-4f28-4fda-8086-013469419733
x[62] = +0.7933  job_id = 451acef2-2c35-4c2b-b8cf-4a249563fb44
x[63] = +0.8568  job_id = 3cab1175-f99e-466f-9d3a-ffaeace910e2
x[64] = +0.9203  job_id = 9b3feb54-2494-446f-8bb2-2c494b5a0f83
x[65] = +0.9837  job_id = 65e84605-e86e-4abd-aea1-13f58256459d
x[66] = +1.0472  job_id = 7fe6525e-9639-402b-8bfb-f0392c7550eb
x[67] = +1.1107  job_id = 468e2250-230c-4d2b-bef3-cec3b8ab0dd5
x[68] = +1.1741  job_id = a643828b-24f5-4001-a846-e01eb697adb3
x[69] = +1.2376  job_id = f0a34802-718b-4d11-90a4-fcaff2a4f828
x[70] = +1.3011  job_id = 0b34d40d-c314-4315-afef-627c2db9f539
x[71] = +1.3645  job_id = 6373ed47-3c18-46db-93ee-cf1d84223a12
x[72] = +1.4280  job_id = f95cb0d6-ff64-4d1e-8042-884b2efa6de2
x[73] = +1.4915  job_id = f2cf2a8f-a8d7-41d2-9dba-4f320bb81388
x[74] = +1.5549  job_id = 8756b9b1-aefb-4cd5-a428-e8da6295778d
x[75] = +1.6184  job_id = 7ee50318-b014-4a94-83d4-96259d1aefb5
x[76] = +1.6819  job_id = 6a88bad4-9bc6-46a2-a265-05f979140871
x[77] = +1.7453  job_id = 616add8f-2a1f-4733-ac25-c07b21ff4287
x[78] = +1.8088  job_id = 12221caa-cca1-4651-b8c1-1c123d2672b8
x[79] = +1.8723  job_id = 1c3888d9-429c-43c5-bbaa-fa77d176ab5a
x[80] = +1.9357  job_id = fa79908e-0e37-429a-ac96-06824d026774
x[81] = +1.9992  job_id = 64ce7ac1-2895-47bc-adfd-fd2be53f597f
x[82] = +2.0627  job_id = 1f6ee3a0-2666-4192-b710-c02b25880eb5
x[83] = +2.1261  job_id = fd0a7c65-ad2b-4ee5-be0b-5e5fa87ad4eb
x[84] = +2.1896  job_id = e7409b4a-0d37-4f49-9d91-87a7fb740dbf
x[85] = +2.2531  job_id = bc33120f-ee34-4e2c-a8f8-e6db8b4a835f
x[86] = +2.3165  job_id = 686e5d8f-960c-43cf-9057-389dbf42869d
x[87] = +2.3800  job_id = 1d3eba5f-55d3-450c-b828-cc5e0c620bca
x[88] = +2.4435  job_id = 6dcc1c61-e19c-48f9-8e68-357dab406d9e
x[89] = +2.5069  job_id = 2db90942-db27-44a0-b08c-50d161b261ff
x[90] = +2.5704  job_id = c42db7b2-dfb5-4eb2-ab3b-303f0f4cba6b
x[91] = +2.6339  job_id = 7c3c10f1-7375-4a10-baf5-33a9b5e53acc
x[92] = +2.6973  job_id = ac121f9f-d335-4e43-890c-3b895120bfda
x[93] = +2.7608  job_id = 8668a538-f962-4d52-8c93-72f2cb0305fe
x[94] = +2.8243  job_id = 85f0ec53-b06d-4e79-a44f-a34514bfd1a8
x[95] = +2.8877  job_id = 00302cd1-4e06-4ad4-a41f-d3fd0b943bc5
x[96] = +2.9512  job_id = 2df6a96b-c338-439e-ae4d-d007a155d916
x[97] = +3.0147  job_id = d7bc6d5c-c63d-4393-b8ef-e09e703503f3
x[98] = +3.0781  job_id = 863feb19-67ea-4382-b536-b4374cb24f70
x[99] = +3.1416  job_id = 35ac2d92-01fa-461c-a355-75eda1e41cb2
