QSP STEP QPU Experiment -- qpu:belenos
File tag     : STEP_L30_N5000_x100
x[42] = -0.4760  job_id = edb4f021-c878-41bd-88b7-254dd07e5013
x[43] = -0.4125  job_id = 5425f140-b26b-41b2-8fb1-4c13edaa2ca5
x[44] = -0.3491  job_id = f7971bda-c35d-435e-8849-568dbc8cb842
x[45] = -0.2856  job_id = a503f34a-bd6f-4901-bea7-46ab08be9a9c
x[46] = -0.2221  job_id = e83037a2-ac4a-4be1-afc4-2dd5d50f400d
x[47] = -0.1587  job_id = 7355a881-5772-49d2-9d35-e1d7143309c4
x[48] = -0.0952  job_id = 45377b44-dee7-4a43-badc-d65c39faad2c
x[49] = -0.0317  job_id = e6b6f0f0-860b-4aae-af5f-d3b23218bf11
x[50] = +0.0317  job_id = 9ff18c9b-210e-4c83-8841-2a7c8e83fb9c
x[51] = +0.0952  job_id = d0f838b0-138e-4af0-b8ab-362c56e4426c
x[52] = +0.1587  job_id = d742efab-4b52-402c-ba97-71f5a410f909
x[53] = +0.2221  job_id = ab157558-057a-4b74-8f6c-7279dbcad01c
x[54] = +0.2856  job_id = 2eeb35e9-e892-4e14-885c-8c18b1641e4a
x[55] = +0.3491  job_id = 3bc6b99a-5692-4df1-b7c4-12ec0ddaa1f4
x[56] = +0.4125  job_id = 8c008b13-635a-4706-a4ab-8097e0bed183
x[57] = +0.4760  job_id = 2428618f-2889-46e9-867c-d5ed2bf2417b
x[58] = +0.5395  job_id = f4f922c1-fdb2-4d08-85ce-ac787c20f0b1
x[59] = +0.6029  job_id = 4f4ca6ad-0bc5-4418-ae94-22c44b37f7eb
x[60] = +0.6664  job_id = 213d6194-695f-4f91-8d46-95d5e2158b59
x[61] = +0.7299  job_id = ac30e18d-8129-404d-9106-3df426d9a77f
x[62] = +0.7933  job_id = c06ada23-ee6c-48e3-bc6d-7c5c5ac743b6
x[63] = +0.8568  job_id = 5e145601-a72c-4e6f-bb07-23a8473ced2b
x[64] = +0.9203  job_id = c3c3a204-9ce5-4e2f-a8b4-783ac6e4ac78
x[65] = +0.9837  job_id = 1079f84b-997f-4e1b-8f43-e55d520b0b19
x[66] = +1.0472  job_id = 2976bfda-0267-482b-b7f8-e141bdab3f06
x[67] = +1.1107  job_id = 02d5d6b9-40b0-4437-bf20-f9e267bfa651
x[68] = +1.1741  job_id = 2ecda357-66c6-4f22-9330-568d19880b2c
x[69] = +1.2376  job_id = b1050f8f-e830-4099-9038-a6cdbde4f852
x[70] = +1.3011  job_id = 110a619a-9708-4608-a971-6327564e3639
x[71] = +1.3645  job_id = 5c3f05b7-9d3e-4e64-a554-96407f3bbaec
x[72] = +1.4280  job_id = e3bbae6e-8e72-4176-98d3-65a15cd000aa
x[73] = +1.4915  job_id = 5d8a94d1-13b4-4530-bbb6-2082ba22aad4
x[74] = +1.5549  job_id = 04351388-3e5d-4075-ac88-a03d4715daa8
x[75] = +1.6184  job_id = 6b5262d2-5570-4687-96f1-1e3897716bed
x[76] = +1.6819  job_id = fd979686-1fe9-44c3-a827-e9b8a4d90a66
x[77] = +1.7453  job_id = 424eca2f-af76-4ce2-b97d-bb1499ceb808
x[78] = +1.8088  job_id = 85988dd7-77d4-435c-84da-ec83375328d0
x[79] = +1.8723  job_id = 185d4cc8-9414-46bd-a946-4e4ea6920afb
x[80] = +1.9357  job_id = f574e9cd-44b9-489b-970d-538bd33d8526
x[81] = +1.9992  job_id = 53eda500-a248-4048-b2f3-fea8d0d8e0a7
x[82] = +2.0627  job_id = 8715ee3a-75e4-42ed-9d73-b17c8c044597
x[83] = +2.1261  job_id = 825b7ab3-f422-40ae-affb-4491f9cd3366
x[84] = +2.1896  job_id = cee9e296-f267-4951-b704-5bc02662ea88
x[85] = +2.2531  job_id = 36ce4e4d-006b-473c-bd2a-ae8fd7a1f622
x[86] = +2.3165  job_id = 546f734e-3a9e-4f96-93d9-487696e610b1
x[87] = +2.3800  job_id = 75cfc4ce-0949-4876-ba8b-19fe05f5a1f6
x[88] = +2.4435  job_id = 4f4b6e06-45dc-4aa8-9533-3abc4e90ddf6
x[89] = +2.5069  job_id = a25230e6-0cf2-47d4-b13a-c17ab63d4573
x[90] = +2.5704  job_id = 5d297c05-479f-4bd2-88de-63cbe8d91376
x[91] = +2.6339  job_id = c0100c42-67c5-4f48-a2de-db8924cf002c
x[92] = +2.6973  job_id = 61445d5f-4bf4-4601-a11e-9676eca5d432
x[93] = +2.7608  job_id = a3414eb2-2ec3-4fea-8e8e-fc2b0b1b9d84
x[94] = +2.8243  job_id = e19604f9-e9ae-44f9-ae76-38cc190b52e4
x[95] = +2.8877  job_id = f3b9e386-4147-464a-aff3-f4d49b605bff
x[96] = +2.9512  job_id = 75a021f5-7d09-4bcd-82e6-e9a7f38ae29d
x[97] = +3.0147  job_id = 423d6d9c-1fba-4e37-9671-f026eaf331d1
x[98] = +3.0781  job_id = 265c3742-c84c-475c-b941-3747c000f69a
x[99] = +3.1416  job_id = 20c38f28-facd-422f-b401-cacf9fb1f9a8
